,time [s]
initialize,0.003415
pretrain_policy,46.931606
initialize_CEGIS,0.105845
iter0_learner,8.875201
iter0_plot,0.528127
iter0_verifier,15.989053
iter0_process_counterexamples,0.034959
iter1_learner,12.348862
iter1_plot,0.005344
iter1_verifier,3.081385
iter1_process_counterexamples,0.0061
iter2_learner,6.721707
iter2_plot,0.006684
iter2_verifier,6.970954
iter2_process_counterexamples,0.006817
iter3_learner,10.991567
iter3_plot,0.005313
iter3_verifier,8.156817
iter3_process_counterexamples,0.006268
iter4_learner,10.709052
iter4_plot,0.00544
iter4_verifier,7.673373
iter4_process_counterexamples,0.007462
iter5_learner,10.257136
iter5_plot,0.00567
iter5_verifier,6.787682
iter5_process_counterexamples,0.007623
iter6_learner,10.564234
iter6_plot,0.006312
iter6_verifier,7.159394
iter6_process_counterexamples,0.007551
iter7_learner,10.777152
iter7_plot,0.006207
iter7_verifier,7.309325
iter7_process_counterexamples,0.007249
iter8_learner,10.195623
iter8_plot,0.006535
iter8_verifier,6.738567
iter8_process_counterexamples,0.005036
iter9_learner,10.225085
iter9_plot,0.0069
iter9_verifier,6.327177
iter9_process_counterexamples,0.00605
iter10_learner,10.358311
iter10_plot,0.007099
iter10_verifier,5.960793
iter10_process_counterexamples,0.004754
iter11_learner,10.564076
iter11_plot,0.007506
iter11_verifier,5.938852
iter11_process_counterexamples,0.00424
iter12_learner,10.640929
iter12_plot,0.007792
iter12_verifier,6.382527
iter12_process_counterexamples,0.005835
iter13_learner,10.590816
iter13_plot,0.00805
iter13_verifier,7.254822
iter13_process_counterexamples,0.00426
iter14_learner,10.077893
iter14_plot,0.008419
iter14_verifier,5.956099
iter14_process_counterexamples,0.003985
iter15_learner,10.281131
iter15_plot,0.008394
iter15_verifier,7.130461
iter15_process_counterexamples,0.00395
iter16_learner,10.512742
iter16_plot,0.008801
iter16_verifier,5.995276
iter16_process_counterexamples,0.003929
iter17_learner,10.831538
iter17_plot,0.009228
iter17_verifier,6.245492
iter17_process_counterexamples,0.003958
iter18_learner,10.851681
iter18_plot,0.009446
iter18_verifier,6.038645
iter18_process_counterexamples,0.003933
iter19_learner,10.763338
iter19_plot,0.009773
iter19_verifier,7.143942
iter19_process_counterexamples,0.004553
iter20_learner,11.18636
iter20_plot,0.013051
iter20_verifier,7.397294
iter20_process_counterexamples,0.003865
iter21_learner,11.1518
iter21_plot,0.010366
iter21_verifier,7.243968
iter21_process_counterexamples,0.003782
iter22_learner,11.179445
iter22_plot,0.01051
iter22_verifier,6.068447
iter22_process_counterexamples,0.003931
iter23_learner,11.46161
iter23_plot,0.011802
iter23_verifier,6.081614
iter23_process_counterexamples,0.003741
iter24_learner,10.360651
iter24_plot,0.011174
iter24_verifier,7.21255
iter24_process_counterexamples,0.003718
iter25_learner,10.791317
iter25_plot,0.011527
iter25_verifier,7.868034
iter25_process_counterexamples,0.003844
iter26_learner,10.872925
iter26_plot,0.011701
iter26_verifier,6.127893
iter26_process_counterexamples,0.005075
iter27_learner,11.003065
iter27_plot,0.011891
iter27_verifier,7.34245
iter27_process_counterexamples,0.00386
iter28_learner,10.776107
iter28_plot,0.012317
iter28_verifier,6.139269
iter28_process_counterexamples,0.003882
iter29_learner,10.970588
iter29_plot,0.012637
iter29_verifier,6.023899
iter29_process_counterexamples,0.005425
iter30_learner,10.691302
iter30_plot,0.021923
iter30_verifier,8.384625
iter30_process_counterexamples,0.003753
iter31_learner,11.209013
iter31_plot,0.01299
iter31_verifier,6.447126
iter31_process_counterexamples,0.003915
iter32_learner,10.5458
iter32_plot,0.012943
iter32_verifier,6.286977
iter32_process_counterexamples,0.005602
iter33_learner,10.745891
iter33_plot,0.013741
iter33_verifier,6.627911
iter33_process_counterexamples,0.003853
iter34_learner,10.818047
iter34_plot,0.013875
iter34_verifier,5.92085
iter34_process_counterexamples,0.00385
iter35_learner,10.656756
iter35_plot,0.014042
iter35_verifier,7.844449
iter35_process_counterexamples,0.003808
iter36_learner,10.214822
iter36_plot,0.014152
iter36_verifier,7.471582
iter36_process_counterexamples,0.003864
iter37_learner,10.506211
iter37_plot,0.016173
iter37_verifier,5.974987
iter37_process_counterexamples,0.003979
iter38_learner,10.633419
iter38_plot,0.015007
iter38_verifier,6.447102
iter38_process_counterexamples,0.00381
iter39_learner,10.51616
iter39_plot,0.014892
iter39_verifier,6.375127
