,info
start_date,2024-05-12_21-38-26
model,LinearSystem
layout,0
seed,2
ckpt,
algorithm,PPO_JAX
probability_bound,0.99995
local_refinement,True
weighted_counterexamples,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,True
total_CEGIS_time,1871.453611
verify_samples,249496537
verify_samples_naive,1149142958080
