iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.9826493,[0.99929225 1.        ],6.4293838,[0.99929225 1.        ],21.684937,,108.50922,,84.903824,[1.         0.98664194],400.96063,[1.         0.98664194],260.34628,,1558.7242,
1,2.9826493,[0.99929225 1.        ],6.4293838,[0.99929225 1.        ],21.684937,,108.50922,,25386.178,[0.99999994 0.6812572 ],44427.89,[0.99999994 0.6812572 ],61416.496,,171215.36,
2,2.9826493,[0.99929225 1.        ],6.4293838,[0.99929225 1.        ],21.684937,,108.50922,,24740.36,[1.        0.7010066],45642.297,[1.        0.7010066],64080.24,,186213.66,
3,1.6770171,[0.99992716 1.        ],3.4873683,[0.99992716 1.        ],16.241726,,84.67314,,24200.781,[1.        0.7121251],45489.13,[1.        0.7121251],73047.516,,227579.06,
4,0.92543507,[1.        0.9999094],2.0409477,[1.        0.9999094],11.4757805,,63.298676,,25095.621,[0.99999994 0.7010968 ],47015.453,[0.99999994 0.7010968 ],73708.805,,227680.16,
5,0.49760032,[1.        0.9996031],1.1565529,[1.        0.9996031],7.790879,,44.058167,,24412.453,[1.        0.7005804],45756.207,[1.        0.7005804],76100.23,,247630.19,
6,0.49768326,[0.9999529 1.       ],1.1594282,[0.9999529 1.       ],7.793853,,44.104473,,23921.725,[1.        0.7070093],44764.508,[1.        0.7070093],77198.414,,258387.62,
7,0.51914775,[0.99999994 0.99291754],1.1570355,[0.99999994 0.99291754],7.9838347,,44.727226,,25529.238,[1.         0.70207757],48272.383,[1.         0.70207757],84978.0,,294575.16,
8,0.67428726,[1.         0.93823606],1.4386816,[1.         0.93823606],8.874251,,48.416904,,25486.426,[1.        0.7008384],48525.96,[1.        0.7008384],88050.484,,310985.06,
9,0.70129526,[1.        0.9382632],1.4860486,[1.        0.9382632],9.024394,,49.004906,,25483.223,[1.        0.7010353],48554.15,[1.        0.7010353],88092.59,,310946.84,
