,time [s]
initialize,0.002385
pretrain_policy,47.73154
initialize_CEGIS,0.130262
iter0_learner,9.206988
iter0_plot,0.519699
iter0_verifier,16.089657
iter0_process_counterexamples,0.019521
iter1_learner,12.139556
iter1_plot,0.008676
iter1_verifier,3.196201
iter1_process_counterexamples,0.006746
iter2_learner,6.541201
iter2_plot,0.005374
iter2_verifier,7.032175
iter2_process_counterexamples,0.008661
iter3_learner,10.900091
iter3_plot,0.005368
iter3_verifier,9.33205
iter3_process_counterexamples,0.007036
iter4_learner,10.886135
iter4_plot,0.005363
iter4_verifier,7.925835
iter4_process_counterexamples,0.005495
iter5_learner,10.659469
iter5_plot,0.005671
iter5_verifier,7.291735
iter5_process_counterexamples,0.006667
iter6_learner,10.891728
iter6_plot,0.005995
iter6_verifier,7.267982
iter6_process_counterexamples,0.007149
iter7_learner,10.627043
iter7_plot,0.006257
iter7_verifier,7.361993
iter7_process_counterexamples,0.006482
iter8_learner,10.54169
iter8_plot,0.006665
iter8_verifier,6.689337
iter8_process_counterexamples,0.006604
iter9_learner,10.755002
iter9_plot,0.006868
iter9_verifier,5.769656
iter9_process_counterexamples,0.004445
iter10_learner,10.486927
iter10_plot,0.007103
iter10_verifier,5.944852
iter10_process_counterexamples,0.004166
iter11_learner,10.887549
iter11_plot,0.007333
iter11_verifier,6.497164
iter11_process_counterexamples,0.004035
iter12_learner,10.392354
iter12_plot,0.007634
iter12_verifier,6.911953
iter12_process_counterexamples,0.004035
iter13_learner,10.711475
iter13_plot,0.007842
iter13_verifier,5.999399
iter13_process_counterexamples,0.013035
iter14_learner,10.523036
iter14_plot,0.008388
iter14_verifier,5.926957
iter14_process_counterexamples,0.00388
iter15_learner,10.435544
iter15_plot,0.008553
iter15_verifier,6.581253
iter15_process_counterexamples,0.005046
iter16_learner,10.944173
iter16_plot,0.008948
iter16_verifier,5.939084
iter16_process_counterexamples,0.003899
iter17_learner,10.807086
iter17_plot,0.009227
iter17_verifier,6.026206
iter17_process_counterexamples,0.003897
iter18_learner,10.467385
iter18_plot,0.009359
iter18_verifier,6.257322
iter18_process_counterexamples,0.003869
iter19_learner,10.358275
iter19_plot,0.00979
iter19_verifier,6.170564
iter19_process_counterexamples,0.003873
iter20_learner,11.146124
iter20_plot,0.009769
iter20_verifier,6.144265
iter20_process_counterexamples,0.003844
iter21_learner,11.061122
iter21_plot,0.010414
iter21_verifier,6.151812
iter21_process_counterexamples,0.003861
iter22_learner,10.808211
iter22_plot,0.010738
iter22_verifier,5.993659
iter22_process_counterexamples,0.003773
iter23_learner,10.817963
iter23_plot,0.010773
iter23_verifier,5.87215
iter23_process_counterexamples,0.003821
iter24_learner,10.857662
iter24_plot,0.011117
iter24_verifier,5.983506
iter24_process_counterexamples,0.003839
iter25_learner,11.375438
iter25_plot,0.01157
iter25_verifier,7.317454
iter25_process_counterexamples,0.00378
iter26_learner,10.908417
iter26_plot,0.011551
iter26_verifier,6.047041
iter26_process_counterexamples,0.003787
iter27_learner,10.748968
iter27_plot,0.011809
iter27_verifier,7.101912
iter27_process_counterexamples,0.003793
iter28_learner,10.594137
iter28_plot,0.012106
iter28_verifier,5.857433
iter28_process_counterexamples,0.003678
iter29_learner,10.765196
iter29_plot,0.012599
iter29_verifier,6.028404
iter29_process_counterexamples,0.00387
iter30_learner,10.767993
