,info
start_date,2024-05-12_23-07-27
model,LinearSystem
layout,0
seed,4
ckpt,
algorithm,PPO_JAX
probability_bound,0.99995
local_refinement,True
weighted_counterexamples,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,True
total_CEGIS_time,2603.920059
verify_samples,229019812
verify_samples_naive,999999864832
