iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.837534,[1.       0.976542],4.9617534,[1.       0.976542],8.142857,,22.208366,,19.908382,[0.99999994 0.9871733 ],54.66784,[0.99999994 0.9871733 ],48.102196,,156.57997,
1,2.837534,[1.       0.976542],4.9617534,[1.       0.976542],8.142857,,22.208366,,7955.349,[1.         0.72516835],12930.103,[1.         0.72516835],10385.998,,19312.736,
2,2.837534,[1.       0.976542],4.9617534,[1.       0.976542],8.142857,,22.208366,,18092.03,[1.        0.6301523],30611.992,[1.        0.6301523],23855.006,,45632.266,
3,2.4732673,[0.9999758 1.       ],4.5368853,[0.9999758 1.       ],7.461464,,21.07424,,23634.258,[1.        0.5698873],40691.273,[1.        0.5698873],32112.617,,62999.766,
4,2.3878999,[1.        0.9999585],4.361424,[1.        0.9999585],7.196304,,20.239979,,25038.326,[1.        0.5523888],43634.062,[1.        0.5523888],36966.367,,77101.65,
5,2.319509,[0.99999994 0.999902  ],4.2153673,[0.99999994 0.999902  ],7.0414104,,19.804169,,24894.973,[1.         0.55187917],43911.44,[1.         0.55187917],41166.926,,91889.414,
6,2.2524586,[1.        0.9999493],4.0885725,[1.        0.9999493],6.919567,,19.512838,,24617.361,[1.        0.5528021],43866.465,[1.        0.5528021],44559.617,,104485.55,
7,2.1803071,[1.         0.99995667],3.9539914,[1.         0.99995667],6.7632546,,19.102072,,24355.186,[1.        0.5533509],43790.598,[1.        0.5533509],47933.44,,117144.11,
8,2.089157,[1.         0.99995124],3.7908833,[1.         0.99995124],6.552597,,18.541674,,23978.62,[1.         0.55427015],43542.836,[1.         0.55427015],51271.4,,129870.445,
9,1.9762135,[1.        0.9999474],3.5994105,[1.        0.9999474],6.316866,,17.961336,,23952.777,[0.99999994 0.5529672 ],43941.004,[0.99999994 0.5529672 ],53459.082,,138002.02,
10,1.8440151,[1.         0.99988574],3.377249,[1.         0.99988574],6.040639,,17.300947,,23403.453,[1.         0.55548215],43394.082,[1.         0.55548215],54604.152,,143597.0,
11,1.6913545,[1.         0.99995965],3.1313605,[1.         0.99995965],5.713292,,16.53625,,23104.256,[1.        0.5567809],43341.016,[1.        0.5567809],57094.66,,153044.7,
12,1.51198,[1.       0.999848],2.8586354,[1.       0.999848],5.34924,,15.663102,,22702.299,[1.        0.5558821],42819.215,[1.        0.5558821],56875.21,,153372.02,
13,1.31038,[0.99997056 1.        ],2.5273168,[0.99997056 1.        ],4.8978624,,14.524353,,22635.738,[1.         0.55307627],42985.367,[1.         0.55307627],57315.652,,155441.05,
14,1.1060159,[1.         0.99991554],2.1744251,[1.         0.99991554],4.3736,,13.182131,,22297.98,[1.        0.5559368],42486.37,[1.        0.5559368],57390.17,,156580.64,
15,0.8972412,[1.         0.99996644],1.8194362,[1.         0.99996644],3.8352258,,11.738974,,21937.043,[1.0000001 0.5568849],41896.477,[1.0000001 0.5568849],56792.81,,155410.67,
16,0.68807256,[0.9999371 1.       ],1.45912,[0.9999371 1.       ],3.2656462,,10.194249,,22214.533,[0.99999994 0.55344296],42162.297,[0.99999994 0.55344296],56350.496,,152633.53,
17,0.4991105,[0.9997552 1.       ],1.1196647,[0.9997552 1.       ],2.7171917,,8.66805,,22018.963,[1.        0.5554691],41799.086,[1.        0.5554691],55904.2,,151643.62,
18,0.49872202,[0.9996666 1.       ],1.1190382,[0.9996666 1.       ],2.7154176,,8.66276,,21753.13,[1.         0.55577976],41360.87,[1.         0.55577976],55106.2,,149388.27,
19,0.49872202,[0.9996666 1.       ],1.1190382,[0.9996666 1.       ],2.7154176,,8.66276,,21900.951,[1.        0.5542002],41684.496,[1.        0.5542002],55740.656,,151313.44,
20,0.49872202,[0.9996666 1.       ],1.1190382,[0.9996666 1.       ],2.7154176,,8.66276,,21726.23,[1.        0.5558769],41356.023,[1.        0.5558769],55760.13,,150849.64,
21,0.49872202,[0.9996666 1.       ],1.1190382,[0.9996666 1.       ],2.7154176,,8.66276,,21998.602,[1.         0.55126965],41747.113,[1.         0.55126965],55944.605,,150069.28,
22,0.49872202,[0.9996666 1.       ],1.1190382,[0.9996666 1.       ],2.7154176,,8.66276,,21842.451,[1.        0.5536808],41475.664,[1.        0.5536808],57058.523,,153519.42,
23,0.49872202,[0.9996666 1.       ],1.1190382,[0.9996666 1.       ],2.7154176,,8.66276,,21617.438,[1.        0.5573259],41117.527,[1.        0.5573259],59356.832,,160429.33,
24,0.498722,[0.9996667 1.       ],1.1190382,[0.9996667 1.       ],2.7154176,,8.66276,,21630.543,[1.       0.561053],40927.9,[1.       0.561053],62145.92,,168830.1,
25,0.49872202,[0.9996666 1.       ],1.1190383,[0.9996666 1.       ],2.7154179,,8.662761,,21766.445,[1.        0.5617335],41084.016,[1.        0.5617335],63174.684,,169880.77,
26,0.4987218,[0.99966633 1.        ],1.1190386,[0.99966633 1.        ],2.7154212,,8.662773,,21564.105,[1.        0.5660876],40701.98,[1.        0.5660876],65207.715,,176746.45,
27,0.49871963,[0.99966455 1.        ],1.119039,[0.99966455 1.        ],2.7154336,,8.662822,,21607.139,[1.        0.5623061],41040.35,[1.        0.5623061],66765.99,,182073.8,
