,time [s]
initialize,0.00332
pretrain_policy,59.079636
initialize_CEGIS,0.142171
iter0_learner,11.380762
iter0_plot,0.682351
iter0_verifier,16.914955
iter0_process_counterexamples,0.042856
iter1_learner,15.526998
iter1_plot,0.005265
iter1_verifier,9.131049
iter1_process_counterexamples,0.006924
iter2_learner,9.309472
iter2_plot,0.00538
iter2_verifier,9.002995
iter2_process_counterexamples,0.007553
iter3_learner,14.782707
iter3_plot,0.005426
iter3_verifier,9.256885
iter3_process_counterexamples,0.005839
iter4_learner,14.413982
iter4_plot,0.006017
iter4_verifier,7.016
iter4_process_counterexamples,0.004113
iter5_learner,14.262075
iter5_plot,0.006064
iter5_verifier,8.265892
iter5_process_counterexamples,0.005629
iter6_learner,14.063473
iter6_plot,0.006035
iter6_verifier,8.393457
iter6_process_counterexamples,0.00355
iter7_learner,14.050899
iter7_plot,0.006713
iter7_verifier,8.085411
iter7_process_counterexamples,0.004497
iter8_learner,14.435498
iter8_plot,0.008235
iter8_verifier,7.316446
iter8_process_counterexamples,0.003462
iter9_learner,14.101438
iter9_plot,0.006917
iter9_verifier,7.751745
iter9_process_counterexamples,0.003392
iter10_learner,14.15298
iter10_plot,0.00733
iter10_verifier,8.592298
iter10_process_counterexamples,0.003441
iter11_learner,14.361844
iter11_plot,0.016983
iter11_verifier,7.749651
iter11_process_counterexamples,0.003419
iter12_learner,13.943607
iter12_plot,0.007741
iter12_verifier,821.6126
