iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.839302,[1.         0.98811585],5.884099,[1.         0.98811585],23.059523,,116.03283,,102.18364,[1.         0.97824484],422.45956,[1.         0.97824484],297.52722,,1628.7821,
1,2.839302,[1.         0.98811585],5.884099,[1.         0.98811585],23.059523,,116.03283,,26973.55,[1.        0.7436539],48217.457,[1.        0.7436539],58425.992,,163469.23,
2,2.839302,[1.         0.98811585],5.884099,[1.         0.98811585],23.059523,,116.03283,,25591.521,[1.         0.76117945],48334.254,[1.         0.76117945],78293.11,,248390.23,
3,0.4922365,[1.         0.99971145],0.9953017,[1.         0.99971145],10.88435,,60.910313,,24776.926,[1.        0.7770674],48135.758,[1.        0.7770674],94878.62,,319209.5,
4,0.49223602,[1.0000001 0.9997115],0.99530023,[1.0000001 0.9997115],10.884285,,60.909863,,25052.326,[1.         0.78368044],49166.08,[1.         0.78368044],108756.945,,381237.16,
5,0.49205342,[0.99999994 0.9997489 ],0.9947843,[0.99999994 0.9997489 ],10.867671,,60.790646,,24241.354,[1.         0.79634094],47462.582,[1.         0.79634094],112182.73,,407058.9,
6,0.4928244,[0.99974966 1.        ],0.9970363,[0.99974966 1.        ],10.873351,,60.85971,,25123.256,[0.99999994 0.7994061 ],48843.066,[0.99999994 0.7994061 ],113631.695,,415151.5,
7,0.48691258,[0.9699669 1.       ],1.3129042,[0.9699669 1.       ],9.4220295,,53.6401,,23881.86,[1.         0.80680037],47029.28,[1.         0.80680037],121836.68,,472217.34,
8,0.49920908,[1.        0.9995057],1.3573409,[1.        0.9995057],9.2341795,,53.027443,,25397.22,[1.         0.79004747],49170.17,[1.         0.79004747],119646.64,,449039.66,
9,0.4980157,[0.99999994 0.9992338 ],1.4238273,[0.99999994 0.9992338 ],8.985835,,51.721012,,24675.914,[1.        0.7905959],47383.035,[1.        0.7905959],117775.195,,446490.78,
10,0.4996042,[1.         0.99948615],1.4061946,[1.         0.99948615],8.977658,,51.34979,,23847.559,[1.        0.7850628],45583.562,[1.        0.7850628],112917.04,,431912.53,
11,0.6537298,[1.         0.96104014],1.5523772,[1.         0.96104014],9.293211,,51.020687,,23250.22,[1.        0.7799865],44627.4,[1.        0.7799865],112537.78,,433963.62,
12,0.7419659,[0.99999994 0.9291348 ],1.6904688,[0.99999994 0.9291348 ],10.955804,,59.711926,,23066.617,[1.        0.7782562],44367.26,[1.        0.7782562],112240.17,,433610.34,
