,time [s]
initialize,0.002408
pretrain_policy,59.64504
initialize_CEGIS,0.114336
iter0_learner,11.564204
iter0_plot,0.643342
iter0_verifier,17.088865
iter0_process_counterexamples,0.041987
iter1_learner,14.958477
iter1_plot,0.011534
iter1_verifier,8.363057
iter1_process_counterexamples,0.007644
iter2_learner,9.793199
iter2_plot,0.006639
iter2_verifier,7.517274
iter2_process_counterexamples,0.007976
iter3_learner,13.512737
iter3_plot,0.005304
iter3_verifier,7.191097
iter3_process_counterexamples,0.005507
iter4_learner,13.98849
iter4_plot,0.005754
iter4_verifier,8.525242
iter4_process_counterexamples,0.003971
iter5_learner,14.403315
iter5_plot,0.005808
iter5_verifier,7.53809
iter5_process_counterexamples,0.00377
iter6_learner,14.521559
iter6_plot,0.006131
iter6_verifier,6.712552
iter6_process_counterexamples,0.003778
iter7_learner,13.993718
iter7_plot,0.00643
iter7_verifier,7.198335
iter7_process_counterexamples,0.003735
iter8_learner,14.159857
iter8_plot,0.006601
iter8_verifier,7.508165
iter8_process_counterexamples,0.003523
iter9_learner,13.867618
iter9_plot,0.006978
iter9_verifier,9.171561
iter9_process_counterexamples,0.005395
iter10_learner,14.60113
iter10_plot,0.007187
iter10_verifier,7.319856
iter10_process_counterexamples,0.003519
iter11_learner,13.956054
iter11_plot,0.007442
iter11_verifier,7.420486
iter11_process_counterexamples,0.003574
iter12_learner,14.465954
iter12_plot,0.011446
iter12_verifier,899.5618
