iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.820071,[1.        0.9947838],5.555541,[1.        0.9947838],22.41678,,111.641304,,95.56324,[1.         0.98194975],407.96417,[1.         0.98194975],286.1604,,1638.8302,
1,2.820071,[1.        0.9947838],5.555541,[1.        0.9947838],22.41678,,111.641304,,24782.695,[1.         0.71889293],45507.63,[1.         0.71889293],58002.11,,170833.58,
2,2.820071,[1.        0.9947838],5.555541,[1.        0.9947838],22.41678,,111.641304,,24295.785,[1.         0.73040813],46244.715,[1.         0.73040813],74863.79,,241105.72,
3,0.4955653,[1.        0.9995548],1.0832427,[1.        0.9995548],8.613345,,49.0486,,23781.174,[1.       0.737438],46133.547,[1.       0.737438],80585.0,,263062.44,
4,0.4941295,[1.         0.99941915],1.0815916,[1.         0.99941915],8.5834675,,48.89287,,24020.656,[1.         0.73327357],46382.42,[1.         0.73327357],81114.57,,259955.3,
5,0.49412957,[1.        0.9994191],1.0815918,[1.        0.9994191],8.583451,,48.89275,,23898.5,[0.99999994 0.7366338 ],46446.668,[0.99999994 0.7366338 ],85869.46,,278487.56,
6,0.4961416,[1.       0.999446],1.0874097,[1.       0.999446],8.569422,,48.789303,,25055.47,[1.        0.7391572],48134.043,[1.        0.7391572],92057.17,,296254.6,
7,0.4941829,[1.         0.99800426],1.1075556,[1.         0.99800426],8.4302,,48.140045,,24408.512,[1.        0.7609311],46836.86,[1.        0.7609311],110864.93,,380375.72,
8,0.49159443,[0.9879587 1.       ],1.1134356,[0.9879587 1.       ],8.261761,,47.40137,,23403.37,[1.        0.7783688],45016.258,[1.        0.7783688],106935.94,,370517.47,
9,0.4993803,[0.86895704 1.        ],1.3742921,[0.86895704 1.        ],8.017218,,46.566643,,22670.855,[0.99999994 0.78525585],43186.484,[0.99999994 0.78525585],104264.14,,366057.94,
10,0.5023492,[1.        0.9999446],1.1883261,[1.        0.9999446],7.5355587,,42.90098,,23977.06,[1.         0.77252144],45868.934,[1.         0.77252144],106518.695,,374032.4,
11,0.52916896,[1.        0.9499519],1.1398609,[1.        0.9499519],7.8011365,,43.06466,,23688.314,[1.        0.7701711],45476.773,[1.        0.7701711],107603.266,,382875.72,
12,0.6868403,[1.        0.8384751],1.4334997,[1.        0.8384751],8.597981,,45.784477,,23584.307,[1.        0.7681796],45342.824,[1.        0.7681796],108643.695,,388227.8,
