,time [s]
initialize,0.010595
pretrain_policy,47.552605
initialize_CEGIS,0.121252
iter0_learner,8.659067
iter0_plot,0.519646
iter0_verifier,16.093548
iter0_process_counterexamples,0.022755
iter1_learner,12.110547
iter1_plot,0.005284
iter1_verifier,3.158845
iter1_process_counterexamples,0.006176
iter2_learner,6.789257
iter2_plot,0.005272
iter2_verifier,7.208769
iter2_process_counterexamples,0.007527
iter3_learner,10.671911
iter3_plot,0.005043
iter3_verifier,8.039146
iter3_process_counterexamples,0.005647
iter4_learner,10.429866
iter4_plot,0.005605
iter4_verifier,8.005066
iter4_process_counterexamples,0.007141
iter5_learner,10.426835
iter5_plot,0.005609
iter5_verifier,7.66594
iter5_process_counterexamples,0.005637
iter6_learner,10.512354
iter6_plot,0.006147
iter6_verifier,6.985886
iter6_process_counterexamples,0.006642
iter7_learner,10.440163
iter7_plot,0.006425
iter7_verifier,6.656953
iter7_process_counterexamples,0.00455
iter8_learner,10.465647
iter8_plot,0.006601
iter8_verifier,6.362176
iter8_process_counterexamples,0.006656
iter9_learner,10.677169
iter9_plot,0.006793
iter9_verifier,7.032083
iter9_process_counterexamples,0.005723
iter10_learner,10.659686
iter10_plot,0.007263
iter10_verifier,6.878829
iter10_process_counterexamples,0.006557
iter11_learner,10.876651
iter11_plot,0.007537
iter11_verifier,6.791134
iter11_process_counterexamples,0.004097
iter12_learner,10.807272
iter12_plot,0.00771
iter12_verifier,6.2472
iter12_process_counterexamples,0.003967
iter13_learner,10.102506
iter13_plot,0.008195
iter13_verifier,6.23348
iter13_process_counterexamples,0.005292
iter14_learner,11.26713
iter14_plot,0.008343
iter14_verifier,6.100301
iter14_process_counterexamples,0.00405
iter15_learner,10.618968
iter15_plot,0.008882
iter15_verifier,6.460014
iter15_process_counterexamples,0.003935
iter16_learner,10.954643
iter16_plot,0.008742
iter16_verifier,7.013426
iter16_process_counterexamples,0.005758
iter17_learner,11.12351
iter17_plot,0.009048
iter17_verifier,7.55143
iter17_process_counterexamples,0.006022
iter18_learner,11.055954
iter18_plot,0.009465
iter18_verifier,5.961433
iter18_process_counterexamples,0.003892
iter19_learner,10.450703
iter19_plot,0.009688
iter19_verifier,6.146844
iter19_process_counterexamples,0.003818
iter20_learner,10.612451
iter20_plot,0.010013
iter20_verifier,5.891337
iter20_process_counterexamples,0.003896
iter21_learner,10.52522
iter21_plot,0.014153
iter21_verifier,6.854496
iter21_process_counterexamples,0.005983
iter22_learner,10.547384
iter22_plot,0.016587
iter22_verifier,6.943665
iter22_process_counterexamples,0.00385
iter23_learner,10.724524
iter23_plot,0.010875
iter23_verifier,6.05514
iter23_process_counterexamples,0.003825
iter24_learner,10.583717
iter24_plot,0.011065
iter24_verifier,5.996951
iter24_process_counterexamples,0.003827
iter25_learner,10.744538
iter25_plot,0.011687
iter25_verifier,5.975316
iter25_process_counterexamples,0.013007
iter26_learner,10.88888
iter26_plot,0.011926
iter26_verifier,6.287295
iter26_process_counterexamples,0.003747
iter27_learner,10.938342
iter27_plot,0.02193
iter27_verifier,6.676555
iter27_process_counterexamples,0.003758
iter28_learner,10.778198
iter28_plot,0.012254
iter28_verifier,5.950882
iter28_process_counterexamples,0.006355
iter29_learner,10.719034
iter29_plot,0.012717
iter29_verifier,6.541996
iter29_process_counterexamples,0.003816
iter30_learner,10.631609
iter30_plot,0.012916
iter30_verifier,6.692794
iter30_process_counterexamples,0.003854
iter31_learner,10.889983
iter31_plot,0.013644
iter31_verifier,6.261051
iter31_process_counterexamples,0.003839
iter32_learner,11.058032
iter32_plot,0.013481
iter32_verifier,6.660753
iter32_process_counterexamples,0.005853
iter33_learner,10.527791
iter33_plot,0.025092
iter33_verifier,6.019676
iter33_process_counterexamples,0.009637
iter34_learner,10.5433
iter34_plot,0.015944
iter34_verifier,6.683132
iter34_process_counterexamples,0.003871
iter35_learner,10.584603
iter35_plot,0.01526
iter35_verifier,6.838975
iter35_process_counterexamples,0.003825
iter36_learner,10.721898
iter36_plot,0.014582
iter36_verifier,6.946668
iter36_process_counterexamples,0.004007
iter37_learner,10.574266
iter37_plot,0.014479
iter37_verifier,5.947114
iter37_process_counterexamples,0.003935
iter38_learner,10.586819
iter38_plot,0.02335
iter38_verifier,6.138448
iter38_process_counterexamples,0.004016
iter39_learner,10.770396
iter39_plot,0.015649
iter39_verifier,6.776643
iter39_process_counterexamples,0.003953
iter40_learner,10.719569
iter40_plot,0.015346
iter40_verifier,6.781061
iter40_process_counterexamples,0.003906
iter41_learner,10.408003
iter41_plot,0.015868
iter41_verifier,6.306732
iter41_process_counterexamples,0.003819
iter42_learner,10.12038
iter42_plot,0.016147
iter42_verifier,6.548648
iter42_process_counterexamples,0.003953
iter43_learner,10.354976
iter43_plot,0.016679
iter43_verifier,8.137346
iter43_process_counterexamples,0.00587
iter44_learner,10.078369
iter44_plot,0.01672
iter44_verifier,6.186512
iter44_process_counterexamples,0.004045
iter45_learner,10.71601
iter45_plot,0.01667
iter45_verifier,6.173634
iter45_process_counterexamples,0.004139
iter46_learner,10.874585
iter46_plot,0.017774
iter46_verifier,6.415635
iter46_process_counterexamples,0.003858
iter47_learner,10.62643
iter47_plot,0.019038
iter47_verifier,7.66865
iter47_process_counterexamples,0.010213
iter48_learner,10.992098
iter48_plot,0.017572
iter48_verifier,7.093356
iter48_process_counterexamples,0.003943
iter49_learner,10.695232
iter49_plot,0.017875
iter49_verifier,7.500511
iter49_process_counterexamples,0.004016
iter50_learner,10.592757
iter50_plot,0.017977
iter50_verifier,7.196278
iter50_process_counterexamples,0.00385
iter51_learner,10.495702
iter51_plot,0.018703
iter51_verifier,7.387873
iter51_process_counterexamples,0.003994
iter52_learner,10.898105
iter52_plot,0.018746
iter52_verifier,23.689157
iter52_process_counterexamples,0.040273
iter53_learner,10.296818
iter53_plot,0.019503
iter53_verifier,19.215075
iter53_process_counterexamples,0.03636
iter54_learner,10.892293
iter54_plot,0.019745
iter54_verifier,19.555222
iter54_process_counterexamples,0.03435
iter55_learner,10.31144
iter55_plot,0.019927
iter55_verifier,7.411935
iter55_process_counterexamples,0.004168
iter56_learner,10.572903
iter56_plot,0.019867
iter56_verifier,717.2327
