iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.7356555,[0.9894972  0.99999994],4.531783,[0.9894972  0.99999994],10.003937,,28.069113,,19.64828,[1.        0.9879168],54.665306,[1.        0.9879168],48.464745,,158.0766,
1,2.7356555,[0.9894972  0.99999994],4.531783,[0.9894972  0.99999994],10.003937,,28.069113,,7349.99,[1.        0.6833277],11905.575,[1.        0.6833277],9877.939,,18728.543,
2,2.7356555,[0.9894972  0.99999994],4.531783,[0.9894972  0.99999994],10.003937,,28.069113,,16608.5,[0.99999994 0.6213606 ],28594.055,[0.99999994 0.6213606 ],23513.139,,46520.508,
3,2.4741933,[0.99999994 0.9999675 ],4.2678876,[0.99999994 0.9999675 ],9.44796,,27.034172,,21602.05,[1.        0.5713766],37927.59,[1.        0.5713766],33076.09,,67838.16,
4,2.42474,[1.        0.9999571],4.153938,[1.        0.9999571],9.161062,,26.050764,,23733.635,[1.         0.54387736],42119.426,[1.         0.54387736],36828.117,,76570.1,
5,2.3887386,[1.       0.999997],4.06181,[1.       0.999997],8.940325,,25.205671,,23746.75,[1.         0.54231524],42433.04,[1.         0.54231524],41007.832,,91478.5,
6,2.3418248,[1.         0.99997944],3.9772663,[1.         0.99997944],8.7603035,,24.610964,,23577.637,[1.         0.54246414],42492.242,[1.         0.54246414],45466.156,,107844.97,
7,2.2855246,[1.       0.999985],3.8860085,[1.       0.999985],8.598052,,24.161348,,23321.723,[0.99999994 0.54360414],42424.605,[0.99999994 0.54360414],49129.62,,121610.01,
8,2.2225723,[1.        0.9999877],3.7884624,[1.        0.9999877],8.426255,,23.74322,,23077.775,[1.         0.54460526],42424.105,[1.         0.54460526],52583.145,,134605.6,
9,2.1448073,[1.        0.9999977],3.6766539,[1.        0.9999977],8.228809,,23.307041,,22717.035,[1.        0.5464791],42227.477,[1.        0.5464791],55163.234,,144804.39,
10,2.048174,[0.99999994 0.99994993],3.545003,[0.99999994 0.99994993],8.010028,,22.873493,,22579.578,[1.         0.54577965],42380.23,[1.         0.54577965],55513.582,,146262.47,
11,1.9345815,[1.         0.99998605],3.3913257,[1.         0.99998605],7.759015,,22.379932,,22222.332,[1.        0.5482415],41921.99,[1.        0.5482415],55258.81,,146286.66,
12,1.7968316,[1.         0.99996036],3.2033865,[1.         0.99996036],7.4572515,,21.787586,,22052.006,[1.        0.5471084],41899.395,[1.        0.5471084],55230.133,,146811.6,
13,1.636484,[0.99998283 1.        ],2.9945846,[0.99998283 1.        ],7.0917997,,21.074135,,21665.244,[1.        0.5511447],41285.773,[1.        0.5511447],54979.56,,146834.73,
14,1.4481404,[0.99999994 0.99993134],2.7356534,[0.99999994 0.99993134],6.6708746,,20.161762,,21919.03,[1.        0.5483301],41513.69,[1.        0.5483301],55242.56,,147010.31,
15,1.2504386,[0.9999881 1.       ],2.4039516,[0.9999881 1.       ],6.162838,,18.873106,,21659.947,[1.        0.5511316],41071.777,[1.        0.5511316],54801.223,,146128.77,
16,1.0430139,[1.        0.9999774],2.0468173,[1.        0.9999774],5.616206,,17.401922,,21391.418,[1.        0.5546039],40576.71,[1.        0.5546039],54347.24,,145201.89,
17,0.83381706,[1.        0.9998569],1.6802863,[1.        0.9998569],5.017825,,15.784125,,21009.168,[1.       0.556852],39941.484,[1.       0.556852],53478.273,,143060.77,
