iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
18,0.62739027,[0.9999157 1.       ],1.3161106,[0.9999157 1.       ],4.3750887,,14.03399,,21663.371,[1.       0.548248],40954.81,[1.       0.548248],54420.312,,144785.0,
19,0.498607,[1.        0.9992838],1.0882051,[1.        0.9992838],3.90376,,12.710387,,21529.404,[1.         0.55074215],40671.887,[1.         0.55074215],55691.16,,150226.53,
20,0.49882337,[1.         0.99952906],1.0886304,[1.         0.99952906],3.9036944,,12.710697,,21329.29,[1.         0.55529094],40368.438,[1.         0.55529094],58870.79,,160405.89,
21,0.49892244,[1.        0.9996144],1.0888526,[1.        0.9996144],3.9036136,,12.710518,,21060.8,[1.         0.55933553],39886.605,[1.         0.55933553],62290.38,,171643.0,
22,0.49911302,[1.         0.99953574],1.0895848,[1.         0.99953574],3.898071,,12.695061,,21464.037,[0.99999994 0.55772793],40252.914,[0.99999994 0.55772793],64039.19,,175987.4,
23,0.49921075,[0.99845254 1.        ],1.0907797,[0.99845254 1.        ],3.8921635,,12.680766,,21494.227,[1.         0.55585337],40604.215,[1.         0.55585337],64248.86,,177229.42,
24,0.49964827,[0.9989518 1.       ],1.0917892,[0.9989518 1.       ],3.8885143,,12.676008,,21332.773,[0.99999994 0.55856705],40289.535,[0.99999994 0.55856705],64256.207,,177647.75,
25,0.49998483,[1.        0.9981102],1.0909584,[1.        0.9981102],3.8765464,,12.656925,,21109.822,[1.       0.562122],39911.9,[1.       0.562122],64107.254,,177773.72,
26,0.4980526,[0.99900365 1.        ],1.085493,[0.99900365 1.        ],3.8423219,,12.582247,,20869.97,[1.        0.5655765],39481.434,[1.        0.5655765],64158.66,,178345.03,
27,0.49837136,[0.99448967 1.        ],1.0861105,[0.99448967 1.        ],3.8118846,,12.511802,,21277.236,[0.99999994 0.5618849 ],39898.746,[0.99999994 0.5618849 ],64848.41,,179356.3,
28,0.49950683,[0.98720795 0.99999994],1.1037132,[0.98720795 0.99999994],3.8370137,,12.559093,,21108.166,[1.         0.56139565],39617.07,[1.         0.56139565],64297.88,,178077.4,
29,0.49917603,[0.989847   0.99999994],1.1065772,[0.989847   0.99999994],3.8328488,,12.537461,,21189.148,[1.        0.5558136],40063.15,[1.        0.5558136],64125.34,,177999.28,
30,0.49915728,[0.99070936 0.99999994],1.1084528,[0.99070936 0.99999994],3.8251164,,12.512246,,21071.898,[1.        0.5558908],39846.29,[1.        0.5558908],63651.9,,176816.28,
31,0.4986951,[0.99248135 1.        ],1.1074692,[0.99248135 1.        ],3.8187895,,12.48181,,20907.998,[1.         0.55586404],39552.086,[1.         0.55586404],63359.8,,176212.56,
32,0.4986396,[0.9931647 1.       ],1.1092049,[0.9931647 1.       ],3.8133528,,12.461706,,20699.57,[1.        0.5568723],39177.664,[1.        0.5568723],62882.387,,175149.77,
33,0.49922362,[0.9942813 1.       ],1.1078501,[0.9942813 1.       ],3.8070428,,12.43087,,21077.79,[1.        0.5512727],39681.16,[1.        0.5512727],63216.93,,175300.34,
34,0.49831104,[0.9957459 1.       ],1.1041005,[0.9957459 1.       ],3.79759,,12.392405,,20934.521,[1.        0.5501953],39439.773,[1.        0.5501953],62923.133,,174727.34,
35,0.4964746,[0.99928933 1.        ],1.0919667,[0.99928933 1.        ],3.7745605,,12.283449,,20735.576,[1.         0.54937434],39119.996,[1.         0.54937434],62502.035,,174012.06,
36,0.49867037,[0.9973325 1.       ],1.0826522,[0.9973325 1.       ],3.747062,,12.167309,,20863.979,[1.        0.5439122],39473.8,[1.        0.5439122],62412.195,,173958.44,
37,0.49914643,[0.9973875 1.       ],1.0759767,[0.9973875 1.       ],3.7446163,,12.140972,,20750.104,[1.        0.5436625],39269.035,[1.        0.5436625],61576.37,,171405.2,
38,0.49925932,[0.9913007 1.       ],1.0680145,[0.9913007 1.       ],3.7074287,,11.996062,,21002.25,[1.         0.54114574],39717.94,[1.         0.54114574],62012.316,,172414.78,
39,0.48978975,[0.99999994 0.9962341 ],1.0704383,[0.99999994 0.9962341 ],3.653705,,11.861066,,20866.633,[1.         0.53608114],39524.418,[1.         0.53608114],61517.074,,171125.3,
40,0.4895825,[1.        0.9970358],1.0702975,[1.        0.9970358],3.6497812,,11.851778,,20750.398,[1.         0.53604317],39324.14,[1.         0.53604317],61229.234,,170541.75,
41,0.48879808,[1.         0.99881124],1.0693018,[1.         0.99881124],3.6500347,,11.857008,,20582.635,[0.99999994 0.53697085],39028.004,[0.99999994 0.53697085],60693.73,,169130.22,
42,0.48870054,[0.99840754 1.        ],1.0702044,[0.99840754 1.        ],3.6488612,,11.859022,,20351.143,[1.        0.5395173],38608.227,[1.        0.5395173],60198.855,,167965.4,
43,0.49093348,[0.9932681 1.       ],1.0754861,[0.9932681 1.       ],3.6488883,,11.865482,,20048.373,[1.        0.5399694],38064.062,[1.        0.5399694],59439.715,,165950.86,
44,0.49661312,[0.9831816 1.       ],1.089359,[0.9831816 1.       ],3.6565366,,11.897583,,20651.02,[1.        0.5331271],39151.508,[1.        0.5331271],59996.184,,166836.86,
45,0.4985926,[0.9825522 1.       ],1.0903136,[0.9825522 1.       ],3.6509478,,11.867533,,20529.89,[1.         0.53211266],38966.957,[1.         0.53211266],59459.305,,165349.23,
46,0.49428433,[0.98888403 1.        ],1.0791931,[0.98888403 1.        ],3.6493442,,11.8671465,,20398.988,[1.         0.53224206],38721.17,[1.         0.53224206],59025.21,,164164.89,
47,0.49976876,[0.98425585 1.        ],1.0826358,[0.98425585 1.        ],3.637648,,11.80991,,20222.076,[1.        0.5332397],38360.566,[1.        0.5332397],58411.9,,162396.53,
48,0.49914485,[0.9882115 1.       ],1.0715839,[0.9882115 1.       ],3.6410587,,11.796195,,20584.826,[1.         0.52805597],38714.14,[1.         0.52805597],58344.242,,161388.27,
49,0.49996892,[0.99996984 1.        ],1.0430925,[0.99996984 1.        ],3.6113555,,11.393928,,20491.275,[1.         0.52700126],38572.22,[1.         0.52700126],57361.094,,158932.61,
50,0.5226471,[1.         0.99563265],1.0181437,[1.         0.99563265],3.5829623,,11.0249815,,20650.8,[1.         0.51814044],39164.37,[1.         0.51814044],56848.727,,158152.84,
51,0.5174737,[1.        0.9935762],1.01264,[1.        0.9935762],3.524533,,10.863983,,20625.701,[1.         0.51705897],39127.33,[1.         0.51705897],56615.86,,157469.44,
52,0.5234131,[1.        0.9970069],1.0136192,[1.        0.9970069],3.5313625,,10.835305,,20607.371,[1.        0.5166064],39099.523,[1.        0.5166064],56471.023,,157030.98,
53,0.5346484,[1.         0.99758357],1.0242813,[1.         0.99758357],3.5281887,,10.784486,,20573.037,[1.         0.51694244],39035.043,[1.         0.51694244],56441.83,,156878.86,
54,0.5439826,[0.99387646 1.        ],1.0336453,[0.99387646 1.        ],3.5543995,,10.815929,,20541.295,[1.       0.517078],38978.855,[1.       0.517078],56410.43,,156790.66,
55,0.5561632,[0.99870485 1.        ],1.0548732,[0.99870485 1.        ],3.5658991,,10.789726,,20515.262,[1.         0.51686215],38935.613,[1.         0.51686215],56348.945,,156701.98,
56,0.561786,[0.9958616 1.       ],1.0573087,[0.9958616 1.       ],3.5801659,,10.829086,,20498.281,[1.        0.5165572],38900.15,[1.        0.5165572],56279.547,,156534.4,
