iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.6359322,[1.0000001  0.99164164],4.334917,[1.0000001  0.99164164],9.696147,,27.110617,,25.64844,[1.         0.96744335],65.1224,[1.         0.96744335],56.264626,,174.0496,
1,2.6359322,[1.0000001  0.99164164],4.334917,[1.0000001  0.99164164],9.696147,,27.110617,,144.38744,[1.        0.8619089],279.35254,[1.        0.8619089],295.19437,,692.04944,
2,2.6359322,[1.0000001  0.99164164],4.334917,[1.0000001  0.99164164],9.696147,,27.110617,,128.40582,[1.      0.85855],256.9539,[1.      0.85855],393.4966,,1084.0878,
3,2.3156307,[1.        0.9986428],3.9570124,[1.        0.9986428],9.020439,,25.980158,,128.5495,[1.        0.8587632],258.00308,[1.        0.8587632],443.33438,,1256.2944,
4,2.2847295,[1.        0.9999962],3.9231303,[1.        0.9999962],8.9671955,,25.913677,,128.41699,[1.        0.8584224],257.70367,[1.        0.8584224],447.58383,,1267.9237,
5,2.2349875,[1.        0.9945043],3.886174,[1.        0.9945043],8.795132,,25.593338,,130.9938,[1.     0.8545],261.1121,[1.     0.8545],459.37677,,1302.7084,
