,info
start_date,2024-05-12_16-31-54
model,LinearSystem
layout,0
seed,5
ckpt,
algorithm,PPO_JAX
probability_bound,0.99
local_refinement,True
weighted_counterexamples,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,True
total_CEGIS_time,149.819074
verify_samples,2123802
verify_samples_naive,100000000
