,time [s]
initialize,0.003192
pretrain_policy,59.686993
initialize_CEGIS,0.122522
iter0_learner,11.218531
iter0_plot,0.655052
iter0_verifier,16.198072
iter0_process_counterexamples,0.04438
iter1_learner,15.196294
iter1_plot,0.005643
iter1_verifier,8.343172
iter1_process_counterexamples,0.006623
iter2_learner,9.225021
iter2_plot,0.012309
iter2_verifier,9.065973
iter2_process_counterexamples,0.006938
iter3_learner,14.618501
iter3_plot,0.008449
iter3_verifier,9.067955
iter3_process_counterexamples,0.00624
iter4_learner,14.386908
iter4_plot,0.005553
iter4_verifier,7.367269
iter4_process_counterexamples,0.00569
iter5_learner,14.010811
iter5_plot,0.005739
iter5_verifier,8.565532
iter5_process_counterexamples,0.005709
iter6_learner,14.475153
iter6_plot,0.006097
iter6_verifier,8.353863
iter6_process_counterexamples,0.00853
iter7_learner,13.938644
iter7_plot,0.006465
iter7_verifier,7.125776
iter7_process_counterexamples,0.003711
iter8_learner,13.505142
iter8_plot,0.006926
iter8_verifier,6.622545
iter8_process_counterexamples,0.003559
iter9_learner,13.810622
iter9_plot,0.006958
iter9_verifier,8.823468
iter9_process_counterexamples,0.004462
iter10_learner,13.897182
iter10_plot,0.007444
iter10_verifier,154.39455
iter10_process_counterexamples,2.518059
iter11_learner,13.800893
iter11_plot,0.007995
iter11_verifier,608.3438
