,info
start_date,2024-05-12_16-29-28
model,LinearSystem
layout,0
seed,4
ckpt,
algorithm,PPO_JAX
probability_bound,0.99
local_refinement,True
weighted_counterexamples,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,True
total_CEGIS_time,92.193913
verify_samples,1182327
verify_samples_naive,319836544
