iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
31,0.4867386,[0.9909069 1.       ],1.0435599,[0.9909069 1.       ],2.388296,,7.4551296,,21367.191,[1.       0.577019],39849.645,[1.       0.577019],72512.33,,198776.75,
32,0.48780572,[0.98800707 1.        ],1.0427483,[0.98800707 1.        ],2.389967,,7.4495897,,21175.213,[0.99999994 0.57587314],39614.164,[0.99999994 0.57587314],73771.19,,203099.3,
33,0.4926118,[0.98670655 0.99999994],1.0440824,[0.98670655 0.99999994],2.3908403,,7.4265428,,21283.85,[0.99999994 0.57317865],40078.273,[0.99999994 0.57317865],75387.9,,208766.08,
34,0.49736688,[0.98676676 1.        ],1.0472839,[0.98676676 1.        ],2.3951254,,7.412549,,21179.76,[0.99999994 0.573511  ],39898.74,[0.99999994 0.573511  ],75637.414,,209733.48,
35,0.48233214,[0.99999994 0.9846393 ],1.0147501,[0.99999994 0.9846393 ],2.3343987,,7.2566886,,21043.217,[1.         0.57490903],39654.117,[1.         0.57490903],76041.2,,211326.19,
36,0.49000332,[1.        0.9751599],1.024243,[1.        0.9751599],2.3397875,,7.2506614,,20849.654,[1.        0.5774272],39321.73,[1.        0.5774272],76607.445,,213796.05,
37,0.46376145,[0.9709578  0.99999994],0.9815195,[0.9709578  0.99999994],2.3238378,,7.276864,,20624.812,[0.99999994 0.579681  ],38897.5,[0.99999994 0.579681  ],77300.49,,216415.1,
38,0.46468502,[0.9698386  0.99999994],0.982556,[0.9698386  0.99999994],2.3264635,,7.280309,,20992.809,[1.       0.577681],39411.68,[1.       0.577681],77261.79,,215066.52,
39,0.46722147,[0.9669132 1.       ],0.985428,[0.9669132 1.       ],2.3347607,,7.2934546,,20841.498,[1.        0.5766703],39204.5,[1.        0.5766703],78068.47,,218192.45,
40,0.47171593,[0.9635573  0.99999994],0.9902437,[0.9635573  0.99999994],2.3471918,,7.317,,20933.99,[0.99999994 0.574597  ],39534.8,[0.99999994 0.574597  ],78071.44,,218493.58,
41,0.47909164,[0.95835906 0.99999994],0.9984383,[0.95835906 0.99999994],2.3645837,,7.348426,,20769.809,[1.        0.5750768],39253.406,[1.        0.5750768],78078.03,,218907.58,
42,0.49117488,[0.95114887 1.        ],1.0122409,[0.95114887 1.        ],2.394181,,7.4052787,,20570.672,[0.99999994 0.5770208 ],38906.45,[0.99999994 0.5770208 ],78417.95,,220411.73,
43,0.47344327,[0.9824775 1.       ],0.96015924,[0.9824775 1.       ],2.2831833,,7.0984015,,20939.465,[1.        0.5721104],39419.09,[1.        0.5721104],79154.92,,221771.94,
44,0.47616434,[0.98028356 1.        ],0.9607023,[0.98028356 1.        ],2.2915218,,7.108927,,20805.38,[1.        0.5724497],39197.37,[1.        0.5724497],78753.66,,220959.25,
45,0.48398387,[0.9805133  0.99999994],0.96634585,[0.9805133  0.99999994],2.3131313,,7.144322,,20961.418,[1.        0.5682529],39680.395,[1.        0.5682529],79034.76,,222127.56,
46,0.49168825,[0.9775533 1.       ],0.9737076,[0.9775533 1.       ],2.3368611,,7.1867256,,20855.441,[0.99999994 0.5682604 ],39492.73,[0.99999994 0.5682604 ],78586.04,,220838.22,
47,0.46149907,[1.         0.99865943],0.9219035,[1.         0.99865943],2.3003736,,7.123805,,20715.24,[1.         0.56869686],39236.195,[1.         0.56869686],78313.64,,220364.89,
48,0.47434932,[1.       0.988267],0.93491244,[1.       0.988267],2.3180034,,7.14915,,20509.262,[1.        0.5692864],38865.418,[1.        0.5692864],77764.875,,219167.31,
49,0.4770774,[1.        0.9947704],0.9311994,[1.        0.9947704],2.330137,,7.1641264,,20866.314,[1.         0.56409377],39456.26,[1.         0.56409377],78024.125,,218776.53,
50,0.4838233,[1.        0.9925887],0.93783456,[1.        0.9925887],2.3403425,,7.1761193,,20729.354,[1.         0.56306124],39214.38,[1.         0.56306124],77395.055,,217079.58,
51,0.4708603,[0.9589138 1.       ],0.9247579,[0.9589138 1.       ],2.3182495,,7.1432137,,20540.225,[1.         0.56345356],38939.484,[1.         0.56345356],77367.12,,217571.48,
52,0.48559433,[0.9454034 1.       ],0.942566,[0.9454034 1.       ],2.3517027,,7.216852,,20271.805,[0.99999994 0.56421536],38522.65,[0.99999994 0.56421536],76272.3,,214766.47,
53,0.4985937,[0.94060516 1.        ],0.960318,[0.94060516 1.        ],2.3803349,,7.2821727,,20942.352,[1.         0.55501676],39657.42,[1.         0.55501676],76538.19,,214085.38,
54,0.46189186,[0.97745025 1.        ],0.8952507,[0.97745025 1.        ],2.2783,,7.000736,,20790.326,[1.        0.5539409],39540.965,[1.        0.5539409],76319.414,,214177.11,
55,0.47609928,[0.97326225 1.        ],0.9076957,[0.97326225 1.        ],2.3083732,,7.0503426,,20682.902,[1.        0.5542613],39392.63,[1.        0.5542613],76287.16,,214293.14,
56,0.45568362,[0.99781555 1.        ],0.8660452,[0.99781555 1.        ],2.2424634,,6.8511987,,20562.496,[1.       0.554815],39172.75,[1.       0.554815],76108.07,,213971.88,
57,0.46952873,[0.9896831 1.       ],0.8726785,[0.9896831 1.       ],2.2679634,,6.8895564,,20389.404,[1.        0.5554212],38869.547,[1.        0.5554212],75854.7,,213569.38,
58,0.4864026,[0.9867853 1.       ],0.8868035,[0.9867853 1.       ],2.300844,,6.946848,,20146.209,[0.99999994 0.556427  ],38434.848,[0.99999994 0.556427  ],75088.12,,211650.06,
59,0.49098623,[0.99797434 1.        ],0.89246756,[0.99797434 1.        ],2.3121648,,6.9729795,,20705.04,[1.         0.54623467],39517.086,[1.         0.54623467],76052.83,,214765.73,
60,0.46725368,[1.         0.98892504],0.8533906,[1.         0.98892504],2.2380574,,6.7807374,,20633.926,[1.        0.5461587],39384.484,[1.        0.5461587],75554.43,,212969.3,
61,0.48328862,[1.        0.9942954],0.8623762,[1.        0.9942954],2.2809203,,6.862513,,20527.643,[1.        0.5466358],39189.37,[1.        0.5466358],75332.51,,212317.19,
62,0.4917196,[1.0000001  0.95764387],0.89497024,[1.0000001  0.95764387],2.24054,,6.7741585,,20382.3,[1.        0.5468577],38929.625,[1.        0.5468577],74941.78,,211282.1,
63,0.49150085,[1.        0.9580613],0.89449054,[1.        0.9580613],2.2414143,,6.776498,,20175.338,[1.         0.54791576],38555.137,[1.         0.54791576],74267.04,,209230.58,
64,0.49133363,[1.        0.9583733],0.89414805,[1.        0.9583733],2.2424111,,6.779232,,20632.125,[1.        0.5424695],39131.26,[1.        0.5424695],74439.16,,208429.55,
65,0.49100378,[1.        0.9591981],0.8933197,[1.        0.9591981],2.24312,,6.7818375,,20499.203,[1.        0.5431831],38937.527,[1.        0.5431831],74546.266,,209314.88,
66,0.4910109,[1.        0.9601059],0.89248526,[1.        0.9601059],2.2418945,,6.77672,,20568.48,[1.         0.53719586],39370.56,[1.         0.53719586],73991.234,,207856.88,
67,0.49085474,[0.99999994 0.96143514],0.8912748,[0.99999994 0.96143514],2.2426007,,6.7760754,,20479.531,[1.        0.5380247],39192.184,[1.        0.5380247],73885.51,,207870.83,
68,0.49022573,[1.        0.9640317],0.8887638,[1.        0.9640317],2.2454956,,6.7805004,,20352.012,[1.         0.53938663],38951.926,[1.         0.53938663],73877.05,,208227.53,
69,0.4895842,[1.        0.9678638],0.88560796,[1.        0.9678638],2.2477021,,6.7813954,,20170.564,[0.99999994 0.5400138 ],38608.676,[0.99999994 0.5400138 ],73282.61,,206806.58,
70,0.4892161,[1.        0.9694386],0.884337,[1.        0.9694386],2.2501726,,6.786783,,20531.607,[0.99999994 0.5308427 ],39125.047,[0.99999994 0.5308427 ],73459.02,,206146.28,
71,0.48868024,[1.         0.97442305],0.8807509,[1.         0.97442305],2.252785,,6.787778,,20419.46,[1.        0.5307991],38949.145,[1.        0.5307991],73194.805,,205710.75,
72,0.48820347,[1.         0.98667806],0.872591,[1.         0.98667806],2.259529,,6.795558,,20262.457,[1.         0.53231937],38715.492,[1.         0.53231937],73238.5,,206384.67,
73,0.49199116,[1.0000001  0.97021127],0.8948244,[1.0000001  0.97021127],2.248158,,6.7731943,,20043.633,[1.        0.5327428],38370.867,[1.        0.5327428],72649.83,,205034.36,
74,0.49643505,[1.0000001  0.97203773],0.8994379,[1.0000001  0.97203773],2.2504356,,6.771735,,20291.383,[0.99999994 0.5304366 ],38870.348,[0.99999994 0.5304366 ],72821.69,,205535.97,
75,0.48932767,[1.         0.99578166],0.89315945,[1.         0.99578166],2.2652667,,6.831023,,20185.473,[1.        0.5310737],38689.113,[1.        0.5310737],72501.37,,204799.56,
76,0.4901235,[1.         0.99760467],0.89261156,[1.         0.99760467],2.268086,,6.8328485,,20037.52,[1.        0.5316523],38434.03,[1.        0.5316523],72066.77,,203776.28,
77,0.48973998,[1.         0.99871963],0.8904783,[1.         0.99871963],2.270263,,6.8362365,,20373.68,[1.         0.52630687],38998.535,[1.         0.52630687],72174.016,,203167.47,
78,0.49275237,[0.9983945  0.99999994],0.89356357,[0.9983945  0.99999994],2.2759993,,6.8431144,,20262.781,[1.       0.526303],38829.81,[1.       0.526303],71966.305,,202879.08,
