,info
start_date,2024-05-12_22-10-31
model,LinearSystem
layout,0
seed,3
ckpt,
algorithm,PPO_JAX
probability_bound,0.99995
local_refinement,True
weighted_counterexamples,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,True
total_CEGIS_time,3359.602418
verify_samples,248596171
verify_samples_naive,167230799872
