,time [s]
iter58_verifier,7.353112
iter58_process_counterexamples,0.007878
iter59_learner,10.71215
iter59_plot,0.020392
iter59_verifier,6.019626
iter59_process_counterexamples,0.004032
iter60_learner,10.343346
iter60_plot,0.020959
iter60_verifier,5.98068
iter60_process_counterexamples,0.004037
iter61_learner,10.635193
iter61_plot,0.021453
iter61_verifier,6.276317
iter61_process_counterexamples,0.004084
iter62_learner,10.808212
iter62_plot,0.021349
iter62_verifier,5.77017
iter62_process_counterexamples,0.003997
iter63_learner,10.845964
iter63_plot,0.021507
iter63_verifier,6.654878
iter63_process_counterexamples,0.004057
iter64_learner,10.554727
iter64_plot,0.021797
iter64_verifier,6.331184
iter64_process_counterexamples,0.005166
iter65_learner,10.298053
iter65_plot,0.022197
iter65_verifier,5.989153
iter65_process_counterexamples,0.00397
iter66_learner,10.517407
iter66_plot,0.022516
iter66_verifier,6.093707
iter66_process_counterexamples,0.004005
iter67_learner,11.170979
iter67_plot,0.023117
iter67_verifier,6.259478
iter67_process_counterexamples,0.004
iter68_learner,10.953608
iter68_plot,0.022892
iter68_verifier,6.422563
iter68_process_counterexamples,0.004038
iter69_learner,10.9477
iter69_plot,0.023019
iter69_verifier,7.19541
iter69_process_counterexamples,0.004118
iter70_learner,10.423549
iter70_plot,0.023056
iter70_verifier,6.225429
iter70_process_counterexamples,0.004194
iter71_learner,10.783136
iter71_plot,0.024601
iter71_verifier,6.910452
iter71_process_counterexamples,0.004113
iter72_learner,10.512578
iter72_plot,0.02406
iter72_verifier,7.234807
iter72_process_counterexamples,0.00409
iter73_learner,10.587229
iter73_plot,0.023863
iter73_verifier,7.140759
iter73_process_counterexamples,0.004568
iter74_learner,10.681107
iter74_plot,0.024686
iter74_verifier,7.369118
iter74_process_counterexamples,0.004095
iter75_learner,10.422582
iter75_plot,0.024491
iter75_verifier,6.442119
iter75_process_counterexamples,0.010456
iter76_learner,10.198032
iter76_plot,0.025084
iter76_verifier,6.842805
iter76_process_counterexamples,0.004743
iter77_learner,11.232056
iter77_plot,0.02507
iter77_verifier,6.330419
iter77_process_counterexamples,0.004143
iter78_learner,10.841226
iter78_plot,0.026142
iter78_verifier,7.217109
iter78_process_counterexamples,0.0042
iter79_learner,10.933708
iter79_plot,0.027667
iter79_verifier,6.635605
iter79_process_counterexamples,0.00406
iter80_learner,10.579063
iter80_plot,0.025828
iter80_verifier,6.617409
iter80_process_counterexamples,0.004107
iter81_learner,10.962738
iter81_plot,0.026682
iter81_verifier,7.1315
iter81_process_counterexamples,0.010437
iter82_learner,10.827521
iter82_plot,0.026486
iter82_verifier,6.612298
iter82_process_counterexamples,0.004186
iter83_learner,10.97967
iter83_plot,0.02689
iter83_verifier,6.502556
iter83_process_counterexamples,0.00405
iter84_learner,10.391518
iter84_plot,0.026976
iter84_verifier,6.432998
iter84_process_counterexamples,0.004179
iter85_learner,10.555679
iter85_plot,0.02721
iter85_verifier,6.491426
iter85_process_counterexamples,0.004189
iter86_learner,10.610322
iter86_plot,0.027724
iter86_verifier,7.447491
iter86_process_counterexamples,0.004014
iter87_learner,10.682477
iter87_plot,0.028063
iter87_verifier,7.183549
iter87_process_counterexamples,0.006068
iter88_learner,10.466193
iter88_plot,0.02872
iter88_verifier,6.808761
iter88_process_counterexamples,0.005631
iter89_learner,10.302027
iter89_plot,0.028769
iter89_verifier,6.39396
iter89_process_counterexamples,0.004128
iter90_learner,10.322951
iter90_plot,0.028621
iter90_verifier,7.380983
iter90_process_counterexamples,0.004228
iter91_learner,10.634218
iter91_plot,0.0305
iter91_verifier,6.624415
iter91_process_counterexamples,0.004216
iter92_learner,10.677442
iter92_plot,0.029449
iter92_verifier,6.61377
iter92_process_counterexamples,0.004274
iter93_learner,10.481161
iter93_plot,0.029678
iter93_verifier,6.644695
iter93_process_counterexamples,0.004215
iter94_learner,10.633783
iter94_plot,0.030447
iter94_verifier,6.830501
iter94_process_counterexamples,0.00422
iter95_learner,10.890863
iter95_plot,0.030066
iter95_verifier,6.929697
iter95_process_counterexamples,0.007048
iter96_learner,10.6277
iter96_plot,0.030109
iter96_verifier,6.780006
iter96_process_counterexamples,0.004252
iter97_learner,10.18375
iter97_plot,0.03111
iter97_verifier,6.747143
iter97_process_counterexamples,0.004196
iter98_learner,10.854467
iter98_plot,0.030338
iter98_verifier,6.774774
