,info
start_date,2024-05-12_16-25-47
model,LinearSystem
layout,0
seed,3
ckpt,
algorithm,PPO_JAX
probability_bound,0.99
local_refinement,True
weighted_counterexamples,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,True
total_CEGIS_time,169.189611
verify_samples,2136392
verify_samples_naive,102818056
