iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.879262,[0.99693495 0.99999994],4.792567,[0.99693495 0.99999994],7.748446,,20.873762,,26.032055,[1.         0.96911085],63.706345,[1.         0.96911085],54.899837,,167.32616,
1,2.879262,[0.99693495 0.99999994],4.792567,[0.99693495 0.99999994],7.748446,,20.873762,,148.68027,[1.        0.8386727],283.50293,[1.        0.8386727],372.44766,,907.3144,
2,2.879262,[0.99693495 0.99999994],4.792567,[0.99693495 0.99999994],7.748446,,20.873762,,128.70378,[1.        0.8503225],260.8317,[1.        0.8503225],440.52643,,1230.576,
3,2.5997155,[0.99995214 1.        ],4.5076647,[0.99995214 1.        ],7.3587017,,20.25591,,128.57912,[1.        0.8502373],261.82568,[1.        0.8502373],445.3047,,1250.3293,
4,2.550856,[1.         0.99785304],4.4341564,[1.         0.99785304],7.2628818,,20.062798,,128.68025,[1.        0.8507476],261.62033,[1.        0.8507476],446.74936,,1254.0624,
5,2.459047,[0.99731034 1.        ],4.2826996,[0.99731034 1.        ],7.120857,,19.751144,,131.79367,[1.        0.8447638],266.1017,[1.        0.8447638],444.43765,,1239.7432,
6,2.3585985,[0.99563015 1.0000001 ],4.1090274,[0.99563015 1.0000001 ],6.9427347,,19.309464,,135.1644,[1.        0.8443651],268.73755,[1.        0.8443651],444.98032,,1228.621,
