,time [s]
initialize,0.010611
pretrain_policy,47.108543
initialize_CEGIS,0.132663
iter0_learner,8.628225
iter0_plot,0.5136
iter0_verifier,16.52051
iter0_process_counterexamples,0.009234
iter1_learner,12.749774
iter1_plot,0.006435
iter1_verifier,7.21687
iter1_process_counterexamples,0.007672
iter2_learner,6.733933
iter2_plot,0.005358
iter2_verifier,8.104338
iter2_process_counterexamples,0.006761
iter3_learner,10.031189
iter3_plot,0.005088
iter3_verifier,17.395607
iter3_process_counterexamples,0.005347
iter4_learner,10.914952
iter4_plot,0.005492
iter4_verifier,18.13347
iter4_process_counterexamples,0.004946
iter5_learner,10.379179
iter5_plot,0.005721
iter5_verifier,16.022495
iter5_process_counterexamples,0.004155
iter6_learner,10.252706
iter6_plot,0.006093
iter6_verifier,15.38892
