,time [s]
initialize,0.002377
pretrain_policy,58.86615
initialize_CEGIS,0.118115
iter0_learner,10.949672
iter0_plot,0.634129
iter0_verifier,16.585026
iter0_process_counterexamples,0.042453
iter1_learner,14.96554
iter1_plot,0.011505
iter1_verifier,8.108263
iter1_process_counterexamples,0.005803
iter2_learner,9.869283
iter2_plot,0.005394
iter2_verifier,8.992411
iter2_process_counterexamples,0.004301
iter3_learner,14.214581
iter3_plot,0.005544
iter3_verifier,8.525377
iter3_process_counterexamples,0.005819
iter4_learner,13.959749
iter4_plot,0.005691
iter4_verifier,8.158967
iter4_process_counterexamples,0.003839
iter5_learner,13.41385
iter5_plot,0.005791
iter5_verifier,8.019563
iter5_process_counterexamples,0.004831
iter6_learner,14.222569
iter6_plot,0.006373
iter6_verifier,7.151323
iter6_process_counterexamples,0.003463
iter7_learner,14.067752
iter7_plot,0.006339
iter7_verifier,7.999563
iter7_process_counterexamples,0.003621
iter8_learner,14.034604
iter8_plot,0.006663
iter8_verifier,23.86618
iter8_process_counterexamples,0.039876
iter9_learner,13.598165
iter9_plot,0.007054
iter9_verifier,186.14975
iter9_process_counterexamples,3.126734
iter10_learner,14.291129
iter10_plot,0.007845
iter10_verifier,20.146555
iter10_process_counterexamples,0.045396
iter11_learner,14.302122
iter11_plot,0.007516
iter11_verifier,797.39526
iter11_process_counterexamples,0.003384
iter12_learner,14.226874
iter12_plot,0.008453
iter12_verifier,828.1714
