iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.8704784,[1.         0.98294216],6.0706353,[1.         0.98294216],24.761864,,127.81126,,90.65718,[1.         0.98525864],416.47604,[1.         0.98525864],252.31792,,1464.8337,
1,2.8704784,[1.         0.98294216],6.0706353,[1.         0.98294216],24.761864,,127.81126,,26836.809,[1.         0.74107146],46935.266,[1.         0.74107146],57072.035,,151689.5,
2,2.8704784,[1.         0.98294216],6.0706353,[1.         0.98294216],24.761864,,127.81126,,25841.715,[1.        0.7624344],47755.273,[1.        0.7624344],82539.11,,253345.02,
3,1.9968256,[1.        0.9998772],4.145369,[1.        0.9998772],19.871014,,102.748604,,25246.441,[1.         0.77512115],47589.75,[1.         0.77512115],95027.16,,299548.3,
4,1.3049753,[0.9999033  0.99999994],2.8124893,[0.9999033  0.99999994],16.020855,,85.637085,,25062.152,[1.         0.78570104],47362.207,[1.         0.78570104],100142.414,,316638.06,
5,0.8279271,[1.        0.9999842],1.8061543,[1.        0.9999842],12.411959,,68.03119,,24448.979,[1.         0.78809994],46742.29,[1.         0.78809994],106447.2,,343331.88,
6,0.49966097,[0.99796104 1.        ],1.1102324,[0.99796104 1.        ],9.692684,,54.476063,,25379.99,[1.        0.7757423],48551.94,[1.        0.7757423],110638.19,,357544.06,
7,0.49674213,[0.9556897 1.       ],1.1614182,[0.9556897 1.       ],9.438438,,52.958782,,26017.791,[1.         0.76425874],49796.355,[1.         0.76425874],114181.59,,365828.28,
8,0.50693303,[1.        0.9904561],1.1244131,[1.        0.9904561],9.480624,,53.176445,,25774.277,[1.        0.7673058],49797.004,[1.        0.7673058],115634.12,,372413.4,
9,0.5382766,[1.        0.9639391],1.1587889,[1.        0.9639391],9.829337,,54.581787,,25630.234,[1.        0.7662892],49822.863,[1.        0.7662892],123378.7,,415815.0,
10,0.55345625,[1.        0.9569686],1.1856914,[1.        0.9569686],9.930227,,54.993195,,25599.031,[1.        0.7658147],49805.582,[1.        0.7658147],125971.5,,430406.25,
11,0.56710744,[1.        0.9490489],1.2118639,[1.        0.9490489],10.045531,,55.499252,,25571.408,[1.         0.76557535],49799.562,[1.         0.76557535],128104.914,,442835.1,
12,0.58547646,[1.        0.9415869],1.2478544,[1.        0.9415869],10.183323,,56.12219,,25527.023,[1.        0.7645122],49724.758,[1.        0.7645122],129845.69,,453732.56,
