,time [s]
initialize,0.003181
pretrain_policy,47.088448
initialize_CEGIS,0.104439
iter0_learner,8.740634
iter0_plot,0.565538
iter0_verifier,16.085447
iter0_process_counterexamples,0.018806
iter1_learner,12.210802
iter1_plot,0.005035
iter1_verifier,3.055861
iter1_process_counterexamples,0.005655
iter2_learner,6.679679
iter2_plot,0.005424
iter2_verifier,6.910207
iter2_process_counterexamples,0.005702
iter3_learner,11.003941
iter3_plot,0.005147
iter3_verifier,8.889198
iter3_process_counterexamples,0.007205
iter4_learner,10.250618
iter4_plot,0.005428
iter4_verifier,7.35484
iter4_process_counterexamples,0.006983
iter5_learner,10.35076
iter5_plot,0.005677
iter5_verifier,7.209743
iter5_process_counterexamples,0.006872
iter6_learner,10.902927
iter6_plot,0.006321
iter6_verifier,6.652443
iter6_process_counterexamples,0.004473
iter7_learner,10.530859
iter7_plot,0.00976
iter7_verifier,7.307899
iter7_process_counterexamples,0.007423
iter8_learner,10.60157
iter8_plot,0.006538
iter8_verifier,6.594132
iter8_process_counterexamples,0.006484
iter9_learner,10.50775
iter9_plot,0.007078
iter9_verifier,6.620266
iter9_process_counterexamples,0.00612
iter10_learner,10.553444
iter10_plot,0.007045
iter10_verifier,6.281068
iter10_process_counterexamples,0.007236
iter11_learner,10.633956
iter11_plot,0.008118
iter11_verifier,6.21511
iter11_process_counterexamples,0.003978
iter12_learner,10.95996
iter12_plot,0.007724
iter12_verifier,6.284081
iter12_process_counterexamples,0.00652
iter13_learner,10.82775
iter13_plot,0.008074
iter13_verifier,7.544169
iter13_process_counterexamples,0.003981
iter14_learner,10.590551
iter14_plot,0.008352
iter14_verifier,5.978724
iter14_process_counterexamples,0.003907
iter15_learner,10.895982
iter15_plot,0.009374
iter15_verifier,5.987119
iter15_process_counterexamples,0.003843
iter16_learner,10.821739
iter16_plot,0.009159
iter16_verifier,7.544565
iter16_process_counterexamples,0.003788
iter17_learner,10.959608
iter17_plot,0.009456
iter17_verifier,6.143201
iter17_process_counterexamples,0.003827
iter18_learner,10.484221
iter18_plot,0.009534
iter18_verifier,6.327401
iter18_process_counterexamples,0.00621
iter19_learner,10.463115
iter19_plot,0.009895
iter19_verifier,7.108471
iter19_process_counterexamples,0.003741
iter20_learner,10.478618
iter20_plot,0.010221
iter20_verifier,7.527254
iter20_process_counterexamples,0.00375
iter21_learner,11.008272
iter21_plot,0.010409
iter21_verifier,6.649355
iter21_process_counterexamples,0.003828
iter22_learner,11.048225
iter22_plot,0.010691
iter22_verifier,7.291134
iter22_process_counterexamples,0.003871
iter23_learner,10.565364
iter23_plot,0.023906
iter23_verifier,5.983305
iter23_process_counterexamples,0.003873
iter24_learner,11.010448
iter24_plot,0.01129
iter24_verifier,7.18358
iter24_process_counterexamples,0.003778
iter25_learner,10.532052
iter25_plot,0.011839
iter25_verifier,7.273759
iter25_process_counterexamples,0.003735
iter26_learner,10.789265
iter26_plot,0.011742
iter26_verifier,7.888182
iter26_process_counterexamples,0.003949
iter27_learner,10.818228
iter27_plot,0.012362
iter27_verifier,5.935838
iter27_process_counterexamples,0.003731
iter28_learner,10.749406
iter28_plot,0.012444
iter28_verifier,7.225802
iter28_process_counterexamples,0.005465
iter29_learner,10.108633
iter29_plot,0.012534
iter29_verifier,7.301913
iter29_process_counterexamples,0.00384
iter30_learner,10.404897
iter30_plot,0.012898
iter30_verifier,7.302931
iter30_process_counterexamples,0.003712
iter31_learner,10.14089
iter31_plot,0.013261
iter31_verifier,7.332105
iter31_process_counterexamples,0.003793
iter32_learner,10.742886
iter32_plot,0.013661
iter32_verifier,5.994361
iter32_process_counterexamples,0.003805
iter33_learner,11.011041
iter33_plot,0.014077
iter33_verifier,6.008051
iter33_process_counterexamples,0.003742
iter34_learner,10.227165
iter34_plot,0.014238
iter34_verifier,6.862003
iter34_process_counterexamples,0.005749
iter35_learner,10.957132
iter35_plot,0.015052
iter35_verifier,7.165771
iter35_process_counterexamples,0.003917
iter36_learner,10.428305
iter36_plot,0.014479
iter36_verifier,7.37206
iter36_process_counterexamples,0.003768
iter37_learner,10.713071
iter37_plot,0.015018
iter37_verifier,6.076504
iter37_process_counterexamples,0.003834
iter38_learner,10.366372
iter38_plot,0.015297
iter38_verifier,6.132619
iter38_process_counterexamples,0.00943
iter39_learner,10.892383
iter39_plot,0.015403
iter39_verifier,6.390306
iter39_process_counterexamples,0.006039
iter40_learner,10.894985
iter40_plot,0.015715
iter40_verifier,6.467367
iter40_process_counterexamples,0.003862
iter41_learner,10.85718
iter41_plot,0.016052
iter41_verifier,6.149715
iter41_process_counterexamples,0.004043
iter42_learner,10.863018
iter42_plot,0.016494
iter42_verifier,6.791492
iter42_process_counterexamples,0.003814
iter43_learner,11.145439
iter43_plot,0.016621
iter43_verifier,8.086976
iter43_process_counterexamples,0.006042
iter44_learner,10.780622
iter44_plot,0.016852
iter44_verifier,6.931486
iter44_process_counterexamples,0.005829
iter45_learner,10.844936
iter45_plot,0.017305
iter45_verifier,7.264316
iter45_process_counterexamples,0.003873
iter46_learner,10.739821
iter46_plot,0.017434
iter46_verifier,5.973845
iter46_process_counterexamples,0.003915
iter47_learner,10.277111
iter47_plot,0.017738
iter47_verifier,6.831554
iter47_process_counterexamples,0.004114
iter48_learner,10.442073
iter48_plot,0.017868
iter48_verifier,6.184438
iter48_process_counterexamples,0.00405
iter49_learner,10.835926
iter49_plot,0.018019
iter49_verifier,6.168742
iter49_process_counterexamples,0.003936
iter50_learner,10.747109
iter50_plot,0.03553
iter50_verifier,7.017767
iter50_process_counterexamples,0.003941
iter51_learner,10.654362
iter51_plot,0.018889
iter51_verifier,20.968344
iter51_process_counterexamples,0.032167
iter52_learner,10.632256
iter52_plot,0.018792
iter52_verifier,531.5189
