,info
start_date,2024-05-12_21-13-03
model,LinearSystem
layout,0
seed,1
ckpt,
algorithm,PPO_JAX
probability_bound,0.99995
local_refinement,True
weighted_counterexamples,True
weighted_Lipschitz,True
cplip,True
split_lip,True
improved_softplus_lip,True
total_CEGIS_time,1468.641022
verify_samples,171212009
verify_samples_naive,1000065400832
