iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.6737525,[1.       0.999585],4.6131287,[1.       0.999585],9.303735,,26.559965,,19.717922,[0.99999994 0.9871764 ],54.72671,[0.99999994 0.9871764 ],48.990074,,160.18935,
1,2.6737525,[1.       0.999585],4.6131287,[1.       0.999585],9.303735,,26.559965,,7911.758,[1.        0.7208746],13013.444,[1.        0.7208746],10254.419,,19305.316,
2,2.6737525,[1.       0.999585],4.6131287,[1.       0.999585],9.303735,,26.559965,,18389.838,[1.        0.6415702],31102.121,[1.        0.6415702],23356.084,,44588.24,
3,2.4353404,[0.9999935 1.0000001],4.3642015,[0.9999935 1.0000001],8.658474,,25.262909,,23898.664,[1.         0.57755464],41151.05,[1.         0.57755464],30875.94,,59994.785,
4,2.3740277,[0.99999607 1.        ],4.1810246,[0.99999607 1.        ],8.354633,,24.093973,,24861.188,[0.99999994 0.5630169 ],43367.42,[0.99999994 0.5630169 ],34844.59,,71848.08,
5,2.312656,[1.        0.9998322],4.0303164,[1.        0.9998322],8.079479,,23.113508,,24723.477,[1.        0.5628833],43549.863,[1.        0.5628833],38864.13,,86106.36,
6,2.2446644,[1.        0.9999761],3.8711543,[1.        0.9999761],7.868397,,22.430895,,24535.932,[1.        0.5629261],43544.258,[1.        0.5629261],41217.125,,94880.24,
7,2.1582258,[1.0000001 0.9999696],3.7017608,[1.0000001 0.9999696],7.660406,,21.843067,,24296.166,[1.        0.5643938],43447.875,[1.        0.5643938],44010.82,,105302.11,
8,2.0518973,[0.99999994 0.9998865 ],3.5199761,[0.99999994 0.9998865 ],7.412491,,21.218245,,24058.928,[1.        0.5644302],43364.637,[1.        0.5644302],46853.168,,116019.64,
9,1.9224976,[1.         0.99989563],3.3249435,[1.         0.99989563],7.093354,,20.430632,,23627.484,[1.        0.5673649],43001.0,[1.        0.5673649],50040.22,,128403.125,
10,1.7587664,[1.         0.99993867],3.0925558,[1.         0.99993867],6.7469854,,19.660269,,23479.398,[1.        0.5645918],43094.41,[1.        0.5645918],52522.242,,136811.92,
11,1.5657036,[1.        0.9999595],2.832543,[1.        0.9999595],6.395693,,18.791267,,22940.865,[1.        0.5670846],42561.42,[1.        0.5670846],55220.9,,146098.02,
12,1.3586545,[1.         0.99996823],2.5053675,[1.         0.99996823],5.9051957,,17.59451,,22602.154,[1.         0.56753325],42324.977,[1.         0.56753325],56871.215,,151944.52,
13,1.1363816,[1.        0.9998565],2.1429622,[1.        0.9998565],5.361257,,16.264153,,22559.955,[1.         0.56506526],42363.863,[1.         0.56506526],57687.98,,154082.55,
14,0.9029199,[0.9999208 1.       ],1.7654665,[0.9999208 1.       ],4.7579265,,14.750756,,22303.582,[1.        0.5654967],41914.477,[1.        0.5654967],57479.516,,153454.83,
15,0.6814675,[1.         0.99987245],1.398723,[1.         0.99987245],4.1350894,,13.131754,,22053.275,[1.        0.5680492],41477.44,[1.        0.5680492],57355.87,,153036.33,
16,0.49857697,[1.        0.9999964],1.0821942,[1.        0.9999964],3.5164392,,11.409121,,22156.219,[1.        0.5658972],41731.38,[1.        0.5658972],57877.61,,154402.5,
17,0.49849695,[1.        0.9999856],1.0820707,[1.        0.9999856],3.5159774,,11.407779,,21967.523,[1.      0.56804],41393.67,[1.      0.56804],57828.418,,154569.66,
18,0.49849695,[1.        0.9999856],1.0820707,[1.        0.9999856],3.5159774,,11.407779,,21718.436,[0.99999994 0.56981736],40935.023,[0.99999994 0.56981736],57475.176,,154221.64,
19,0.49849695,[1.         0.99998534],1.0820707,[1.         0.99998534],3.5159776,,11.40778,,22017.615,[1.         0.56768066],41286.84,[1.         0.56768066],58112.68,,155047.4,
20,0.49849698,[1.         0.99998546],1.0820706,[1.         0.99998546],3.5159802,,11.40779,,21824.602,[1.        0.5685512],40947.79,[1.        0.5685512],58486.414,,156866.03,
21,0.4984969,[1.         0.99998575],1.08207,[1.         0.99998575],3.5159984,,11.407863,,21578.922,[1.        0.5689191],40497.258,[1.        0.5689191],59183.33,,160330.58,
22,0.49849567,[1.         0.99998605],1.0820636,[1.         0.99998605],3.5162106,,11.408713,,21706.82,[1.        0.5666703],40737.496,[1.        0.5666703],61153.1,,167273.92,
23,0.49849266,[0.99996763 1.        ],1.0820166,[0.99996763 1.        ],3.5204365,,11.425374,,21526.842,[1.        0.5687548],40361.83,[1.        0.5687548],61627.402,,169493.22,
24,0.4997417,[0.99962044 1.        ],1.0842617,[0.99962044 1.        ],3.5415006,,11.50611,,21715.758,[0.99999994 0.5676326 ],40647.85,[0.99999994 0.5676326 ],63308.344,,174209.27,
25,0.49735698,[0.9986936 1.       ],1.0837839,[0.9986936 1.       ],3.5368662,,11.520741,,21576.781,[1.         0.57005304],40374.906,[1.         0.57005304],65720.43,,182399.34,
26,0.49871716,[0.99814695 0.99999994],1.0860709,[0.99814695 0.99999994],3.56592,,11.636071,,21416.479,[1.       0.571984],40032.562,[1.       0.571984],68973.55,,194288.9,
27,0.49952972,[0.9967918 1.       ],1.0884734,[0.9967918 1.       ],3.5813687,,11.698479,,21226.197,[1.        0.5739813],39634.31,[1.        0.5739813],70914.53,,201650.45,
28,0.49911442,[1.        0.9849629],1.0919665,[1.        0.9849629],3.5269198,,11.503617,,20982.502,[1.        0.5751281],39166.48,[1.        0.5751281],72710.695,,209671.67,
29,0.484049,[0.97892004 1.        ],1.057905,[0.97892004 1.        ],3.490061,,11.435468,,21358.098,[1.        0.5731155],39761.004,[1.        0.5731155],74153.32,,214655.88,
30,0.49718156,[0.9702811 1.       ],1.0786378,[0.9702811 1.       ],3.4885404,,11.421534,,21428.36,[1.         0.56744957],39945.195,[1.         0.56744957],75105.055,,218222.08,
31,0.49437505,[0.9803346 1.       ],1.0606843,[0.9803346 1.       ],3.4039373,,11.142137,,21310.354,[1.         0.56890595],39697.168,[1.         0.56890595],75638.16,,220219.17,
