iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
32,0.48720807,[0.99561155 1.        ],1.0223067,[0.99561155 1.        ],3.333039,,10.891769,,21164.541,[1.       0.569288],39407.965,[1.       0.569288],75743.305,,220800.14,
33,0.48624012,[1.        0.9902407],0.9958193,[1.        0.9902407],3.2990646,,10.729792,,20974.092,[1.         0.56924224],39042.75,[1.         0.56924224],75406.305,,219900.75,
34,0.46900374,[0.9795476 1.       ],0.94645727,[0.9795476 1.       ],3.2469528,,10.600519,,20701.537,[1.         0.56998104],38534.94,[1.         0.56998104],74955.31,,218834.27,
35,0.48480886,[0.9770321  0.99999994],0.9575409,[0.9770321  0.99999994],3.280777,,10.657036,,21279.275,[1.        0.5602945],39600.355,[1.        0.5602945],75587.23,,219968.31,
36,0.47444424,[0.99518865 0.99999994],0.9279849,[0.99518865 0.99999994],3.2359877,,10.474422,,21185.36,[1.        0.5591261],39421.223,[1.        0.5591261],75455.72,,219556.06,
37,0.4895463,[1.         0.99100035],0.9141673,[1.         0.99100035],3.2332273,,10.38613,,21072.154,[1.        0.5593117],39222.086,[1.        0.5593117],75306.97,,219102.67,
38,0.48433995,[0.9765641 1.       ],0.89708626,[0.9765641 1.       ],3.2269645,,10.343757,,20911.85,[1.         0.55915326],38935.875,[1.         0.55915326],74826.97,,218012.36,
39,0.48656827,[0.9990261 1.       ],0.8736475,[0.9990261 1.       ],3.179557,,10.115576,,20696.49,[1.         0.56006783],38561.516,[1.         0.56006783],74534.71,,217543.23,
40,0.4939387,[0.9746121 1.       ],0.8753388,[0.9746121 1.       ],3.1877873,,10.10918,,21119.98,[1.         0.55515057],39061.805,[1.         0.55515057],74825.91,,217361.22,
41,0.49246296,[1.         0.98770607],0.8559647,[1.         0.98770607],3.1580925,,9.979686,,21024.889,[1.        0.5521121],39045.72,[1.        0.5521121],74333.14,,216479.98,
42,0.48067263,[0.9927692 1.       ],0.83101296,[0.9927692 1.       ],3.140542,,9.883392,,20832.326,[1.         0.55299526],38758.934,[1.         0.55299526],74110.15,,216210.4,
43,0.49423835,[0.9833511 1.       ],0.83859617,[0.9833511 1.       ],3.1721663,,9.907428,,20558.848,[1.        0.5538629],38336.055,[1.        0.5538629],73582.84,,215300.0,
44,0.4851594,[0.992807 1.      ],0.81085306,[0.992807 1.      ],3.1452456,,9.798709,,20785.035,[1.        0.5493007],38776.043,[1.        0.5493007],73397.75,,214484.1,
45,0.49694154,[1.         0.99160594],0.8220608,[1.         0.99160594],3.2249897,,9.94436,,21066.557,[1.         0.54197353],39317.48,[1.         0.54197353],73148.42,,212979.6,
46,0.49924713,[1.        0.9858825],0.82762873,[1.        0.9858825],3.2706926,,9.987793,,20950.973,[1.        0.5386066],39140.465,[1.        0.5386066],72228.29,,210356.34,
47,0.499654,[0.99429846 0.99999994],0.82844,[0.99429846 0.99999994],3.1872232,,9.755808,,20829.744,[1.        0.5380699],38939.86,[1.        0.5380699],71319.79,,207438.45,
48,0.4984678,[0.99715674 1.        ],0.8351116,[0.99715674 1.        ],3.2041998,,9.782703,,20669.277,[1.        0.5378354],38673.203,[1.        0.5378354],70352.51,,204299.83,
49,0.4999353,[1.        0.9946076],0.8321222,[1.        0.9946076],3.236616,,9.798108,,21000.701,[0.99999994 0.53287005],39007.227,[0.99999994 0.53287005],70610.086,,204050.78,
50,0.5217579,[1.        0.9995736],0.8287978,[1.        0.9995736],3.283245,,9.702123,,20987.543,[1.        0.5331376],38983.05,[1.        0.5331376],71345.23,,206687.52,
51,0.61418617,[1.         0.95954746],0.9436179,[1.         0.95954746],3.5229592,,10.15463,,21271.217,[1.         0.52441376],39619.137,[1.         0.52441376],70754.01,,203692.52,
52,0.621939,[1.        0.9648117],0.95018333,[1.        0.9648117],3.5362327,,10.151431,,21222.81,[1.        0.5247023],39628.484,[1.        0.5247023],70559.516,,202945.4,
